parl_const,parl_const_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB availability (% premises),FTTP availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises unable meet USO,% of premises able to receive NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA,SFBB availability (Count premises),UFBB availability (Count premises),FTTP availability (Count premises),Count of premises unable to receive 2Mbit/s,Count of premises unable to receive 5Mbit/s,Count of premises unable to receive 10Mbit/s,Count of premises unable to receive 30Mbit/s,Count of premises unable meet USO,Number of premises able to receive NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA
E14000530,Aldershot,45045,45045,11.7,86.0,2.2,0.1,0.7,1.2,2.2,1.4,98.2,0.0,0.0,5272,38760,994,33,324,550,1013,612,44227,0,0
E14000531,Aldridge-Brownhills,34308,34308,15.5,82.0,15.1,0.0,1.2,1.8,2.5,1.9,98.1,0.0,0.0,5334,28127,5191,5,403,626,847,663,33672,0,0
E14000532,Altrincham and Sale West,43487,43486,42.4,54.3,0.9,0.4,0.8,1.1,3.3,1.1,98.9,1.0,0.0,18424,23621,412,169,365,483,1441,492,43025,453,0
E14000533,Amber Valley,42491,42490,70.0,23.1,22.6,0.2,0.5,1.0,6.9,1.1,98.7,0.0,0.0,29741,9823,9602,72,197,433,2926,476,41948,0,0
E14000534,Arundel and South Downs,46905,46905,84.8,2.2,2.1,0.7,2.3,4.5,12.9,4.7,98.1,0.0,0.0,39781,1041,986,307,1096,2098,6061,2189,46032,0,0
E14000535,Ashfield,48474,48474,8.1,90.4,0.7,0.0,0.6,0.7,1.4,0.7,99.3,0.0,0.0,3949,43835,317,24,270,340,690,357,48139,0,0
E14000536,Ashford,53157,53157,42.4,47.1,4.0,1.0,3.3,5.0,10.5,5.2,97.3,0.0,0.0,22526,25063,2128,554,1748,2632,5561,2738,51729,0,0
E14000537,Ashton-under-Lyne,43512,43512,48.3,50.8,1.5,0.0,0.0,0.1,0.9,0.1,99.9,0.0,0.0,20999,22103,660,0,5,24,410,42,43447,0,0
E14000538,Aylesbury,50746,50746,36.3,58.8,4.9,0.1,0.8,1.6,5.0,1.7,98.1,0.0,0.0,18411,29818,2501,53,420,807,2517,887,49778,0,0
E14000539,Banbury,55249,55247,71.3,22.5,5.6,0.4,0.7,1.3,6.2,1.4,97.7,0.0,0.0,39381,12428,3099,197,413,734,3429,784,53958,0,0
E14000540,Barking,50698,50696,27.2,72.1,7.5,0.0,0.3,0.3,0.6,0.6,99.4,0.0,0.0,13814,36554,3778,0,127,168,328,294,50374,0,0
E14000541,Barnsley Central,42992,42992,19.7,78.6,1.0,0.0,0.1,0.8,1.7,0.9,99.1,0.0,0.0,8453,33800,425,5,34,338,739,392,42585,0,0
E14000542,Barnsley East,43340,43340,60.5,35.5,0.8,0.1,0.3,0.9,4.0,1.6,98.2,0.0,0.0,26207,15406,353,43,112,387,1727,679,42568,0,0
E14000543,Barrow and Furness,44985,44984,96.1,0.4,0.4,0.3,0.7,1.0,3.4,1.2,99.5,2.6,0.8,43230,184,184,147,297,471,1535,519,44750,1152,354
E14000544,Basildon and Billericay,42150,42150,30.4,63.2,13.6,0.1,0.6,2.3,6.4,2.6,97.5,0.0,0.0,12817,26630,5740,48,241,974,2703,1075,41110,0,0
E14000545,Basingstoke,50342,50339,42.2,56.4,14.3,0.0,0.3,0.7,1.5,0.8,99.3,0.0,0.0,21232,28376,7188,1,151,372,731,385,49994,0,0
E14000546,Bassetlaw,49093,49084,65.2,27.9,1.0,0.9,1.2,1.6,6.9,1.7,99.3,6.9,5.1,32000,13715,492,443,608,800,3369,826,48770,3384,2490
E14000547,Bath,39674,39673,43.6,52.2,13.2,0.0,0.0,0.8,4.1,1.3,97.1,0.0,0.0,17302,20728,5218,0,3,337,1643,524,38537,0,0
E14000548,Batley and Spen,48042,48041,37.0,59.3,13.2,0.0,0.1,0.4,3.6,0.8,98.4,0.3,0.0,17785,28505,6352,10,33,196,1751,362,47279,150,0
E14000549,Battersea,51390,51388,13.3,84.4,32.7,0.0,0.0,0.1,2.2,0.3,97.7,0.0,0.0,6836,43392,16781,0,0,41,1150,144,50233,0,0
E14000550,Beaconsfield,44874,44873,64.1,25.4,7.8,0.2,1.0,2.5,10.5,2.8,97.6,0.0,0.0,28750,11418,3513,97,428,1129,4705,1263,43787,0,0
E14000551,Beckenham,40216,40216,27.1,72.2,0.6,0.0,0.0,0.0,0.7,0.1,99.6,0.0,0.0,10898,29046,240,2,4,4,272,21,40067,0,0
E14000552,Bedford,47386,47386,7.0,92.2,4.1,0.0,0.1,0.2,0.8,0.4,99.5,0.0,0.0,3325,43676,1929,23,51,89,385,196,47150,0,0
E14000553,Bermondsey and Old Southwark,69087,69087,20.1,70.8,56.8,0.0,0.0,0.6,9.1,1.4,91.2,0.0,0.0,13880,48935,39216,1,7,449,6271,963,62984,0,0
E14000554,Berwick-upon-Tweed,36918,36909,82.1,3.6,3.6,1.9,4.4,7.0,14.1,7.6,94.9,0.0,0.0,30303,1316,1316,687,1613,2587,5220,2806,35046,14,1
E14000555,Bethnal Green and Bow,60754,60752,29.4,58.0,20.4,0.0,0.0,0.2,12.6,0.3,87.4,0.0,0.0,17890,35218,12389,0,0,130,7644,209,53115,0,0
