parliamentary_constituency_name,All Premises,All Matched Premises,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,Number of premises with SFBB availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,SFBB availability (% premises),UFBB availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Full Fibre availability (% premises),% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA
ABERAVON,33018,33012,7715,24470,23,35,46,723,32185,24470,23,58,104,827,512,158,32681,6273,4659,23.4,74.1,0.1,0.1,0.1,2.2,23.4,74.1,0.1,0.2,0.3,2.5,1.6,0.5,99.0,19.0,14.1
ABERCONWY,30142,30121,26054,1777,182,427,369,1312,27831,1777,182,609,978,2290,1777,1098,29229,14667,11492,86.4,5.9,0.6,1.4,1.2,4.4,86.4,5.9,0.6,2.0,3.2,7.6,5.9,3.6,97.0,48.7,38.1
ABERDEEN NORTH,56487,56402,42398,11228,0,5,373,2398,53626,11228,0,5,378,2776,4512,505,54637,0,0,75.1,19.9,0.0,0.0,0.7,4.2,75.1,19.9,0.0,0.0,0.7,4.9,8.0,0.9,96.7,0.0,0.0
ABERDEEN SOUTH,52955,52926,35804,13499,19,80,97,3427,49303,13499,19,99,196,3623,11714,256,51358,0,0,67.6,25.5,0.0,0.2,0.2,6.5,67.6,25.5,0.0,0.2,0.4,6.8,22.1,0.5,97.0,0.0,0.0
AIRDRIE AND SHOTTS,41042,41039,15089,24636,22,110,177,1005,39725,24636,22,132,309,1314,478,333,40764,0,0,36.8,60.0,0.1,0.3,0.4,2.4,36.8,60.0,0.1,0.3,0.8,3.2,1.2,0.8,99.3,0.0,0.0
ALDERSHOT,46951,46931,7945,37814,41,283,256,592,45759,37814,41,324,580,1172,1368,621,45915,0,0,16.9,80.5,0.1,0.6,0.5,1.3,16.9,80.5,0.1,0.7,1.2,2.5,2.9,1.3,97.8,0.0,0.0
ALDRIDGE-BROWNHILLS,34640,34638,8679,25640,4,6,24,285,34319,25640,4,10,34,319,5928,40,34575,0,0,25.1,74.0,0.0,0.0,0.1,0.8,25.1,74.0,0.0,0.0,0.1,0.9,17.1,0.1,99.8,0.0,0.0
ALTRINCHAM AND SALE WEST,44893,44798,15798,27380,48,311,57,1204,43178,27380,48,359,416,1620,515,569,44220,560,0,35.2,61.0,0.1,0.7,0.1,2.7,35.2,61.0,0.1,0.8,0.9,3.6,1.1,1.3,98.5,1.2,0.0
ALYN AND DEESIDE,39692,39669,31445,5631,120,191,385,1897,37076,5631,120,311,696,2593,3290,741,38979,12017,911,79.2,14.2,0.3,0.5,1.0,4.8,79.2,14.2,0.3,0.8,1.8,6.5,8.3,1.9,98.2,30.3,2.3
AMBER VALLEY,43520,43471,29427,11373,50,144,341,2136,40800,11373,50,194,535,2671,11263,593,43013,0,0,67.6,26.1,0.1,0.3,0.8,4.9,67.6,26.1,0.1,0.4,1.2,6.1,25.9,1.4,98.8,0.0,0.0
ANGUS,46379,46065,38796,583,721,1242,1653,3070,39379,583,721,1963,3616,6686,583,4055,43494,0,0,83.6,1.3,1.6,2.7,3.6,6.6,83.6,1.3,1.6,4.2,7.8,14.4,1.3,8.7,93.8,0.0,0.0
