parl_const,parliamentary_constituency_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises able to receive decent broadband from FWA,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
E14000530,ALDERSHOT,47471,47432,97.4,81.5,81.3,4.2,4.2,0.1,0.8,1.4,2.5,0.2,97.7,46244,38697,38583,50,392,647,1188,2004,2004,74,46359,0,16.1,81.3,0.0,0.1,0.7,0.5,1.1,7661,38583,50,342,255,541
E14000531,ALDRIDGE-BROWNHILLS,34609,34603,99.1,84.4,80.4,17.7,78.5,0.0,0.0,0.1,0.9,0.0,99.8,34295,29196,27814,2,4,28,308,6120,27160,6,34541,0,18.7,80.4,0.0,0.0,0.0,0.1,0.8,6481,27814,2,2,24,280
E14000532,ALTRINCHAM AND SALE WEST,45006,44890,96.7,70.5,62.1,1.9,55.4,0.1,0.4,0.5,3.1,0.3,98.8,43511,31724,27965,46,186,242,1379,874,24951,129,44484,0,34.5,62.1,0.0,0.1,0.3,0.1,2.5,15546,27965,46,140,56,1137
E14000533,AMBER VALLEY,43916,43818,95.1,27.4,26.9,26.8,26.8,0.1,0.3,0.7,4.7,0.3,99.1,41746,12017,11792,23,120,299,2072,11751,11751,140,43525,0,68.2,26.9,0.0,0.1,0.2,0.4,4.0,29954,11792,23,97,179,1773
E14000534,ARUNDEL AND SOUTH DOWNS,49115,48710,90.0,8.5,7.4,6.6,6.6,0.4,1.2,2.5,9.2,1.7,98.0,44206,4195,3615,215,609,1229,4504,3223,3223,838,48153,0,82.6,7.4,0.0,0.4,0.8,1.3,6.7,40591,3615,215,394,620,3275
E14000535,ASHFIELD,49822,49722,98.1,87.6,87.4,3.8,3.8,0.0,0.4,0.5,1.7,0.3,98.9,48873,43630,43535,9,201,247,849,1913,1913,172,49285,0,10.7,87.4,0.0,0.0,0.4,0.1,1.2,5338,43535,9,192,46,602
E14000536,ASHFORD,55964,55822,91.0,50.5,47.3,7.8,7.8,0.3,1.6,3.2,8.8,0.9,98.6,50913,28255,26467,184,894,1770,4909,4348,4348,508,55175,0,43.7,47.3,0.0,0.3,1.3,1.6,5.6,24446,26467,184,710,876,3139
E14000537,ASHTON-UNDER-LYNE,47898,47766,98.7,81.2,80.4,38.7,38.9,0.0,0.0,0.1,1.0,0.3,99.3,47277,38884,38492,1,9,45,489,18531,18640,131,47558,0,18.3,80.4,0.0,0.0,0.0,0.1,0.9,8785,38492,1,8,36,444
E14000538,AYLESBURY,53666,53542,96.8,68.5,63.4,9.3,9.3,0.0,0.3,0.6,3.0,0.3,98.9,51929,36752,34016,14,165,308,1613,4997,4997,180,53066,0,33.4,63.4,0.0,0.0,0.3,0.3,2.4,17913,34016,14,151,143,1305
E14000539,BANBURY,59654,59528,96.1,41.0,30.8,9.7,9.7,0.3,0.4,1.0,3.7,0.3,98.5,57332,24455,18372,150,249,615,2196,5796,5796,206,58779,0,65.3,30.8,0.0,0.3,0.2,0.6,2.7,38960,18372,150,99,366,1581
E14000540,BARKING,53392,53378,98.8,86.7,86.5,49.1,49.1,0.0,0.2,0.3,1.1,0.0,98.8,52766,46299,46163,2,82,139,612,26202,26202,23,52773,0,12.4,86.5,0.0,0.0,0.1,0.1,0.9,6603,46163,2,80,57,473
E14000541,BARNSLEY CENTRAL,44981,44783,98.6,86.4,85.2,14.8,14.8,0.0,0.1,0.2,1.0,0.4,99.0,44353,38876,38303,0,41,81,430,6663,6665,198,44550,0,13.5,85.2,0.0,0.0,0.1,0.1,0.8,6050,38303,0,41,40,349
E14000542,BARNSLEY EAST,44396,44355,98.5,80.8,75.8,40.7,40.7,0.0,0.1,0.2,1.4,0.1,99.3,43739,35887,33664,15,41,78,616,18089,18089,42,44106,0,22.7,75.8,0.0,0.0,0.1,0.1,1.2,10075,33664,15,26,37,538
E14000543,BARROW AND FURNESS,46139,46070,96.9,1.1,1.1,1.1,1.1,0.2,0.5,0.8,2.9,0.5,99.7,44722,525,525,102,229,375,1348,525,525,221,45985,1168,95.8,1.1,2.5,0.2,0.3,0.3,2.1,44197,525,102,127,146,973
E14000544,BASILDON AND BILLERICAY,43552,43482,97.3,67.7,66.9,20.9,20.9,0.0,0.2,0.4,2.5,0.2,99.4,42393,29499,29147,9,95,192,1089,9110,9110,72,43288,0,30.4,66.9,0.0,0.0,0.2,0.2,2.1,13246,29147,9,86,97,897
E14000545,BASINGSTOKE,52691,52676,99.0,67.4,67.0,17.9,67.2,0.0,0.2,0.4,1.0,0.1,99.6,52157,35509,35304,0,85,193,519,9439,35400,73,52468,0,32.0,67.0,0.0,0.0,0.2,0.2,0.6,16853,35304,0,85,108,326
E14000546,BASSETLAW,52128,51934,96.0,35.0,28.0,6.1,6.1,0.4,0.7,1.0,3.6,0.5,99.2,50032,18267,14585,197,345,533,1902,3169,3169,277,51685,3734,68.0,28.0,7.2,0.4,0.3,0.4,2.6,35447,14585,197,148,188,1369
E14000547,BATH,45472,45430,95.6,69.4,60.4,24.7,24.7,0.0,0.0,0.2,4.3,0.1,96.8,43491,31576,27485,0,10,73,1939,11220,11220,46,44038,0,35.2,60.4,0.0,0.0,0.0,0.1,4.1,16006,27485,0,10,63,1866
E14000548,BATLEY AND SPEN,49671,49622,97.1,67.0,66.5,24.0,25.2,0.0,0.1,0.1,2.8,0.1,99.2,48219,33295,33040,3,27,57,1403,11936,12498,51,49286,0,30.6,66.5,0.0,0.0,0.0,0.1,2.7,15179,33040,3,24,30,1346
E14000549,BATTERSEA,61799,61475,97.4,93.2,89.1,36.8,36.8,0.0,0.0,0.0,2.1,0.5,97.4,60204,57625,55034,0,0,17,1271,22731,22731,326,60206,0,8.4,89.1,0.0,0.0,0.0,0.0,2.0,5170,55034,0,0,17,1254
E14000550,BEACONSFIELD,46816,46762,92.7,38.8,33.5,11.1,14.0,0.0,0.3,1.3,7.1,0.3,98.1,43421,18145,15677,11,145,600,3341,5174,6553,131,45915,0,59.3,33.5,0.0,0.0,0.3,1.0,5.9,27744,15677,11,134,455,2741
E14000551,BECKENHAM,40798,40790,99.2,87.8,87.2,1.2,1.2,0.0,0.0,0.1,0.8,0.0,99.5,40468,35822,35586,2,4,28,322,478,478,8,40604,0,12.0,87.2,0.0,0.0,0.0,0.1,0.7,4882,35586,2,2,24,294
E14000552,BEDFORD,50071,50047,98.7,92.0,89.7,7.1,7.1,0.0,0.1,0.3,1.2,0.0,98.9,49443,46049,44897,9,75,128,604,3554,3554,25,49542,0,9.1,89.7,0.0,0.0,0.1,0.1,1.0,4546,44897,9,66,53,476
E14000553,BERMONDSEY AND OLD SOUTHWARK,76523,76287,90.1,72.0,70.5,56.0,56.0,0.0,0.0,0.4,9.6,0.3,90.2,68948,55060,53976,0,8,283,7339,42889,42889,236,68988,0,19.6,70.5,0.0,0.0,0.0,0.4,9.2,14972,53976,0,8,275,7056
E14000554,BERWICK-UPON-TWEED,38973,38871,89.2,8.4,8.4,8.4,8.4,1.3,2.9,4.5,10.5,1.7,96.8,34772,3265,3263,505,1124,1747,4099,3262,3262,671,37727,5351,80.8,8.4,13.7,1.3,1.6,1.6,6.0,31509,3263,505,619,623,2352
E14000555,BETHNAL GREEN AND BOW,65847,65644,90.4,65.3,59.7,26.7,26.7,0.0,0.0,0.4,9.3,0.3,90.5,59550,43004,39294,1,1,264,6094,17574,17574,201,59585,0,30.8,59.7,0.0,0.0,0.0,0.4,8.9,20256,39294,1,0,263,5830
E14000556,BEVERLEY AND HOLDERNESS,48782,48417,95.8,55.3,55.3,55.3,55.3,0.4,0.9,1.4,3.4,0.3,97.9,46742,26972,26972,192,436,702,1675,26972,26972,132,47759,14089,40.5,55.3,28.9,0.4,0.5,0.5,2.0,19770,26972,192,244,266,973
E14000557,BEXHILL AND BATTLE,52423,52228,93.5,7.1,7.1,7.1,7.1,0.1,0.4,1.3,6.1,0.6,99.2,49004,3728,3728,49,210,699,3224,3728,3728,338,52011,0,86.4,7.1,0.0,0.1,0.3,0.9,4.8,45276,3728,49,161,489,2525
E14000558,BEXLEYHEATH AND CRAYFORD,39008,38964,97.9,89.4,89.2,32.9,32.9,0.0,0.0,0.4,2.0,0.1,98.1,38199,34864,34813,0,1,147,765,12819,12819,42,38264,0,8.7,89.2,0.0,0.0,0.0,0.4,1.6,3386,34813,0,1,146,618
E14000559,BIRKENHEAD,46802,46764,99.4,86.9,86.4,45.2,45.2,0.0,0.0,0.0,0.6,0.1,99.8,46501,40670,40442,0,1,9,263,21176,21176,38,46698,0,12.9,86.4,0.0,0.0,0.0,0.0,0.5,6059,40442,0,1,8,254
E14000560,"BIRMINGHAM, EDGBASTON",45649,45625,94.4,86.3,85.7,15.9,85.8,0.0,0.3,2.0,5.5,0.1,94.5,43102,39400,39139,17,155,896,2523,7247,39161,24,43151,0,8.7,85.7,0.0,0.0,0.3,1.6,3.6,3963,39139,17,138,741,1627
E14000561,"BIRMINGHAM, ERDINGTON",45529,45510,96.1,91.2,89.0,14.6,87.2,0.0,0.2,2.1,3.9,0.0,96.1,43749,41531,40527,1,81,950,1761,6633,39697,19,43753,0,7.1,89.0,0.0,0.0,0.2,1.9,1.8,3222,40527,1,80,869,811
E14000562,"BIRMINGHAM, HALL GREEN",43538,43501,97.8,92.1,91.6,30.6,91.1,0.0,0.0,0.1,2.1,0.1,97.9,42593,40113,39864,0,8,49,908,13342,39683,33,42620,0,6.3,91.6,0.0,0.0,0.0,0.1,2.0,2729,39864,0,8,41,859
E14000563,"BIRMINGHAM, HODGE HILL",42528,42504,99.5,97.3,96.8,20.4,96.3,0.0,0.1,0.3,0.4,0.1,99.5,42317,41376,41172,0,50,144,187,8693,40955,24,42323,0,2.7,96.8,0.0,0.0,0.1,0.2,0.1,1145,41172,0,50,94,43
E14000564,"BIRMINGHAM, LADYWOOD",70842,70390,86.3,76.6,74.3,34.6,71.7,0.0,0.0,0.4,13.1,0.6,86.3,61138,54279,52655,0,19,301,9252,24507,50811,438,61139,0,12.0,74.3,0.0,0.0,0.0,0.4,12.6,8483,52655,0,19,282,8951
E14000565,"BIRMINGHAM, NORTHFIELD",47784,47768,97.3,92.4,92.2,14.1,92.2,0.0,0.0,1.3,2.7,0.0,97.4,46489,44150,44043,0,23,613,1279,6743,44043,16,46553,0,5.1,92.2,0.0,0.0,0.0,1.2,1.4,2446,44043,0,23,590,666
E14000566,"BIRMINGHAM, PERRY BARR",43236,43133,97.6,96.1,95.3,46.9,94.4,0.0,0.1,0.2,2.2,0.2,97.6,42189,41567,41190,0,55,108,944,20276,40831,102,42197,0,2.3,95.3,0.0,0.0,0.1,0.1,1.9,999,41190,0,55,53,836
E14000567,"BIRMINGHAM, SELLY OAK",45714,45271,96.6,93.1,92.5,40.6,93.1,0.0,0.0,0.4,2.5,1.0,96.7,44145,42552,42295,0,12,179,1126,18551,42548,443,44193,0,4.0,92.5,0.0,0.0,0.0,0.4,2.1,1850,42295,0,12,167,947
E14000568,"BIRMINGHAM, YARDLEY",45991,45964,98.8,97.5,97.1,77.5,96.8,0.0,0.0,0.6,1.1,0.0,98.8,45460,44832,44647,6,22,286,504,35640,44535,20,45462,0,1.8,97.1,0.0,0.0,0.0,0.6,0.5,813,44647,6,16,264,218
E14000569,BISHOP AUCKLAND,46778,46630,91.0,29.3,29.3,29.3,29.3,1.0,2.2,3.7,8.7,1.3,97.6,42560,13719,13709,474,1042,1742,4070,13718,13718,592,45671,631,61.7,29.3,1.3,1.0,1.2,1.5,5.0,28851,13709,474,568,700,2328
E14000570,BLACKBURN,47475,47351,98.4,72.8,72.6,5.8,5.8,0.0,0.1,0.2,1.4,0.3,98.9,46707,34584,34465,2,59,96,644,2759,2772,128,46948,7008,25.8,72.6,14.8,0.0,0.1,0.1,1.2,12242,34465,2,57,37,548
E14000571,BLACKLEY AND BROUGHTON,53623,53574,95.1,61.2,56.5,9.4,53.1,0.3,0.4,1.9,4.8,0.1,96.0,50995,32821,30316,144,201,1002,2579,5055,28470,48,51465,0,38.6,56.5,0.0,0.3,0.1,1.5,2.9,20679,30316,144,57,801,1577
E14000572,BLACKPOOL NORTH AND CLEVELEYS,44302,44264,99.1,53.4,53.3,2.0,2.0,0.0,0.0,0.1,0.8,0.1,99.5,43892,23650,23617,0,8,26,372,890,890,38,44087,0,45.8,53.3,0.0,0.0,0.0,0.0,0.8,20275,23617,0,8,18,346
E14000573,BLACKPOOL SOUTH,45395,45332,98.6,70.1,69.9,0.7,0.7,0.0,0.0,0.0,1.3,0.1,98.7,44754,31844,31733,2,4,11,578,298,298,61,44810,0,28.7,69.9,0.0,0.0,0.0,0.0,1.2,13021,31733,2,2,7,567
E14000574,BLAYDON,44226,43970,92.8,49.0,47.3,6.1,6.1,0.1,0.5,1.8,6.6,0.7,96.6,41063,21665,20936,50,218,802,2907,2684,2684,288,42737,1,45.5,47.3,0.0,0.1,0.4,1.3,4.8,20127,20936,50,168,584,2105
E14000575,BLYTH VALLEY,40691,40648,98.3,30.1,15.1,5.8,5.8,0.0,0.1,0.1,1.6,0.1,99.9,39985,12234,6137,19,26,48,663,2374,2374,45,40638,0,83.2,15.1,0.0,0.0,0.0,0.1,1.5,33848,6137,19,7,22,615
E14000576,BOGNOR REGIS AND LITTLEHAMPTON,51865,51814,97.1,3.6,3.6,3.6,3.6,0.1,0.2,0.3,2.8,0.1,99.5,50374,1854,1854,75,90,144,1440,1854,1854,54,51626,0,93.6,3.6,0.0,0.1,0.0,0.1,2.5,48520,1854,75,15,54,1296
E14000577,BOLSOVER,47887,47805,93.7,35.1,31.3,12.4,12.4,0.1,0.3,0.6,6.1,0.3,98.5,44867,16808,14970,31,137,279,2938,5917,5917,123,47181,0,62.4,31.3,0.0,0.1,0.2,0.3,5.6,29897,14970,31,106,142,2659
E14000578,BOLTON NORTH EAST,47251,47165,99.0,89.0,86.5,1.5,84.4,0.0,0.1,0.3,0.9,0.2,99.4,46757,42031,40855,0,30,160,408,692,39880,85,46983,0,12.5,86.5,0.0,0.0,0.1,0.3,0.5,5902,40855,0,30,130,248
E14000579,BOLTON SOUTH EAST,47412,47328,98.3,86.3,84.5,1.0,82.7,0.0,0.2,0.2,1.5,0.2,98.8,46618,40933,40050,22,88,107,710,491,39201,88,46846,0,13.9,84.5,0.0,0.0,0.1,0.0,1.3,6568,40050,22,66,19,603
E14000580,BOLTON WEST,45891,45846,97.8,82.8,80.8,1.3,80.0,0.0,0.1,0.4,2.1,0.1,99.3,44869,37995,37088,13,31,175,977,593,36727,49,45558,0,17.0,80.8,0.0,0.0,0.0,0.3,1.7,7781,37088,13,18,144,802
E14000581,BOOTLE,49982,49949,99.5,89.2,88.9,42.1,88.9,0.0,0.1,0.1,0.4,0.1,99.6,49744,44574,44441,4,28,44,205,21041,44441,36,49789,0,10.6,88.9,0.0,0.0,0.0,0.0,0.3,5303,44441,4,24,16,161
E14000582,BOSTON AND SKEGNESS,53518,53012,88.6,12.1,7.2,3.8,3.8,0.7,2.3,4.1,10.5,3.0,96.7,47416,6485,3853,393,1214,2195,5596,2039,2039,1620,51748,3353,81.4,7.2,6.3,0.7,1.5,1.8,6.4,43563,3853,393,821,981,3401
E14000583,BOSWORTH,51732,51161,95.2,62.5,59.8,9.7,9.7,0.1,0.9,1.4,3.7,1.2,97.6,49266,32312,30920,49,491,742,1895,5021,5023,616,50471,0,35.5,59.8,0.0,0.1,0.9,0.5,2.2,18346,30920,49,442,251,1153
E14000584,BOURNEMOUTH EAST,51741,51661,98.4,89.9,86.4,16.3,16.3,0.6,0.6,0.8,1.4,0.2,99.5,50916,46536,44680,299,300,435,745,8454,8454,80,51502,0,12.1,86.4,0.0,0.6,0.0,0.3,0.6,6236,44680,299,1,135,310
E14000585,BOURNEMOUTH WEST,52949,52550,98.6,83.2,79.0,42.4,42.4,0.0,0.0,0.0,0.6,0.8,98.7,52225,44075,41844,0,14,25,325,22444,22444,399,52281,0,19.6,79.0,0.0,0.0,0.0,0.0,0.6,10381,41844,0,14,11,300
E14000586,BRACKNELL,49101,48835,95.3,59.2,56.1,7.7,54.2,0.1,0.1,0.9,4.1,0.6,97.8,46814,29078,27562,39,68,431,2021,3785,26622,288,48015,0,39.2,56.1,0.0,0.1,0.1,0.7,3.2,19252,27562,39,29,363,1590
E14000587,BRADFORD EAST,42957,42934,97.6,86.7,86.0,2.3,85.6,0.0,0.1,0.2,2.3,0.1,98.0,41943,37260,36930,0,39,85,991,987,36757,22,42098,3030,11.7,86.0,7.1,0.0,0.1,0.1,2.1,5013,36930,0,39,46,906
E14000588,BRADFORD SOUTH,43725,43717,98.0,85.3,83.9,4.0,82.8,0.0,0.2,0.3,2.0,0.0,99.1,42836,37317,36703,3,70,128,881,1751,36208,8,43313,514,14.0,83.9,1.2,0.0,0.2,0.1,1.7,6133,36703,3,67,58,753
