parl_const,parliamentary_constituency_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises able to receive decent broadband from FWA,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
E14000530,ALDERSHOT,45678,45644,98.5,86.4,86.4,28.1,86.3,0,0.6,0.9,1.5,0.1,98.7,44979,39472,39472,6,268,418,665,12826,39430,33,45097,0,12.1,86.4,0,0,0.6,0.3,0.5,5507,39472,6,262,150,247
E14000531,ALDRIDGE-BROWNHILLS,32555,32541,98.2,85.4,82.6,21.2,81.4,0,0,0.7,1.7,0.1,98.8,31982,27789,26877,2,2,230,559,6908,26485,32,32172,0,15.7,82.6,0,0,0,0.7,1,5105,26877,2,0,228,329
E14000532,ALTRINCHAM AND SALE WEST,42606,42556,97.3,77,71.4,13.3,67.2,0.1,0.4,0.4,2.5,0,99.2,41471,32790,30435,33,157,174,1085,5660,28650,0,42263,246,25.9,71.4,0.6,0.1,0.3,0,2.1,11036,30435,33,124,17,911
E14000533,AMBER VALLEY,41666,41531,96.9,53.6,53.2,53,53.2,0,0.1,0.2,2.8,0.1,99.6,40374,22326,22179,8,29,74,1157,22073,22147,42,41515,0,43.7,53.2,0,0,0.1,0.1,2.6,18195,22179,8,21,45,1083
E14000534,ARUNDEL AND SOUTH DOWNS,46365,46226,93.2,34.9,33.7,33,33,0.3,0.9,1.7,6.5,0.7,99.3,43206,16185,15639,161,400,787,3020,15278,15278,319,46032,0,59.5,33.7,0,0.3,0.5,0.8,4.8,27567,15639,161,239,387,2233
E14000535,ASHFIELD,47339,47270,98.4,90.3,90.3,8.5,88.4,0,0.3,0.4,1.4,0,99,46599,42750,42750,0,147,180,671,4006,41825,15,46886,1,8.1,90.3,0,0,0.3,0.1,1,3849,42750,0,147,33,491
E14000536,ASHFORD,53668,53622,94,69.6,67.8,42.6,66.7,0.2,0.8,1.9,5.9,0.3,99.2,50473,37368,36382,120,455,1015,3149,22871,35818,177,53264,18029,26.3,67.8,33.6,0.2,0.6,1,4,14091,36382,120,335,560,2134
E14000537,ASHTON-UNDER-LYNE,43168,43110,99.1,86.6,86.2,46.5,85.7,0,0,0,0.7,0,99.6,42794,37393,37199,0,4,14,316,20058,37001,7,42996,0,13,86.2,0,0,0,0,0.7,5595,37199,0,4,10,302
E14000538,AYLESBURY,52097,52035,98,74.3,69.4,19.4,65.2,0,0.1,0.3,1.9,0.1,99.4,51035,38728,36136,16,61,146,1000,10124,33980,32,51788,0,28.6,69.4,0,0,0.1,0.2,1.6,14899,36136,16,45,85,854
E14000539,BANBURY,58074,57923,97.6,64.1,58.3,40.8,54.3,0.3,0.6,0.9,2.1,0.1,98.7,56678,37203,33855,187,359,496,1245,23707,31523,58,57329,295,39.3,58.3,0.5,0.3,0.3,0.2,1.3,22823,33855,187,172,137,749
E14000540,BARKING,51583,51273,98.7,90.6,90.6,56.4,88.3,0,0.3,0.4,0.7,0.6,98.7,50892,46741,46741,1,173,187,381,29072,45546,286,50897,0,8,90.6,0,0,0.3,0,0.4,4151,46741,1,172,14,194
E14000541,BARNSLEY CENTRAL,42596,42572,99.6,89.7,88.8,22.3,22.3,0,0,0,0.3,0,99.9,42434,38198,37805,0,4,5,138,9478,9481,0,42561,14011,10.9,88.8,32.9,0,0,0,0.3,4629,37805,0,4,1,133
E14000542,BARNSLEY EAST,43156,43130,99.2,84.1,81.5,43.9,48.2,0,0,0.1,0.8,0,99.7,42800,36274,35168,2,15,57,330,18956,20780,1,43014,7598,17.7,81.5,17.6,0,0,0.1,0.6,7632,35168,2,13,42,273
E14000543,BARROW AND FURNESS,43907,43859,97.6,41.8,41.8,41.8,41.8,0.2,0.4,0.6,2.2,0.2,99.8,42875,18334,18334,81,184,263,984,18334,18334,103,43799,1189,55.9,41.8,2.7,0.2,0.2,0.2,1.6,24541,18334,81,103,79,721
E14000544,BASILDON AND BILLERICAY,40999,40954,98.6,87.5,87.1,57.7,78.4,0,0.1,0.3,1.3,0,99.6,40405,35857,35708,4,52,118,549,23674,32134,7,40848,0,11.5,87.1,0,0,0.1,0.2,1.1,4697,35708,4,48,66,431
E14000545,BASINGSTOKE,50616,50595,99.2,86.1,86.1,51.9,86,0,0.1,0.3,0.8,0,99.7,50204,43580,43580,1,75,137,391,26263,43548,12,50471,0,13.1,86.1,0,0,0.1,0.1,0.5,6624,43580,1,74,62,254
E14000546,BASSETLAW,50699,50477,96.9,42.8,41.1,15.4,39.9,0.3,0.5,0.7,2.7,0.2,99.3,49108,21711,20814,151,245,363,1369,7819,20212,82,50343,10137,55.8,41.1,20,0.3,0.2,0.2,2,28294,20814,151,94,118,1006
E14000547,BATH,42425,42277,96.4,70.7,63.3,28.5,57.3,0,0,0,3.2,0,97.4,40903,30012,26856,0,0,6,1374,12107,24308,1,41312,0,33.1,63.3,0,0,0,0,3.2,14047,26856,0,0,6,1368
E14000548,BATLEY AND SPEN,46786,46729,98.6,86.9,86.9,50.2,86.9,0,0,0.1,1.3,0,99.6,46108,40679,40679,0,5,29,621,23495,40678,1,46609,1043,11.6,86.9,2.2,0,0,0.1,1.3,5429,40679,0,5,24,592
E14000549,BATTERSEA,60611,59908,97.2,94.6,91.6,51.9,81.8,0,0,0.4,1.6,0.3,97.2,58914,57310,55496,0,0,251,994,31457,49570,173,58934,0,5.6,91.6,0,0,0,0.4,1.2,3418,55496,0,0,251,743
E14000550,BEACONSFIELD,44380,44280,95.7,75.8,74.2,59.7,73,0,0.2,1.1,4.1,0.1,98.6,42450,33635,32917,14,101,467,1830,26498,32393,55,43751,0,21.5,74.2,0,0,0.2,0.8,3.1,9533,32917,14,87,366,1363
E14000551,BECKENHAM,39693,39660,99.3,89.1,88.4,18.9,86.3,0,0,0.1,0.6,0,99.6,39406,35371,35105,2,6,25,254,7515,34272,0,39525,0,10.8,88.4,0,0,0,0,0.6,4301,35105,2,4,19,229
E14000552,BEDFORD,47358,47300,99.5,94.4,92.9,32.6,89.9,0,0,0,0.4,0,99.6,47109,44727,43993,2,5,22,191,15460,42577,0,47152,0,6.6,92.9,0,0,0,0,0.4,3116,43993,2,3,17,169
E14000553,BERMONDSEY AND OLD SOUTHWARK,69420,69274,94.1,81.3,81.3,71,80.5,0,0,0,5.6,0,94.2,65358,56442,56439,0,0,18,3916,49301,55885,4,65373,0,12.8,81.3,0,0,0,0,5.6,8919,56439,0,0,18,3898
