Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,Land area,Total,km squared,"  83,879 ","  83,879 ","  83,879 ","  83,879 ","  83,879 ","  83,879 ","  83,879 ","  83,879 ","  83,927 ","  83,927 ","  83,927 "
Austria,Population,Total,###,"  8,443,018 ","  8,451,860 ","  8,506,889 ","  8,576,261 ","  8,690,076 ","  8,772,865 ","  8,858,775 ","  8,901,064 ","  8,932,664 ","  8,978,929 ","  9,104,772 "
Austria,Households,Total,###,"  3,670,876 ","  3,738,906 ","  3,813,261 ","  3,855,150 ","  3,903,333 ","  3,935,534 ","  3,883,312 ","  3,918,929 ","  3,959,143 ","  3,995,050 ","  4,033,080 "
Austria,Broadband coverage (>2Mbps),Total,Households,"  3,619,912 ","  3,679,471 ","  3,736,996 ","  3,781,362 ","  3,822,764 ","  3,858,862 ","  3,813,412 ","  3,863,423 ",#N/A,#N/A,#N/A
Austria,Broadband coverage (>30Mbps),Total,Households,"  2,040,840 ","  2,253,339 ","  2,484,992 ","  2,594,044 ","  2,782,689 ","  2,847,375 ","  3,058,873 ","  3,394,576 ","  3,694,166 ","  3,787,714 ","  3,797,226 "
Austria,Broadband coverage (>100Mbps),Total,Households,"  1,585,580 ","  1,526,583 ","  1,614,113 ","  1,909,163 ","  2,192,623 ","  2,264,559 ","  2,532,192 ","  2,829,701 ","  3,278,917 ","  3,427,842 ","  3,529,626 "
Austria,Broadband coverage (>1Gbps),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  535,836 ","  1,447,729 ","  1,796,383 ","  2,190,639 ","  2,625,903 "
Austria,Broadband coverage (>1Gbps upload and download),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  692,772 ","  861,769 ","  1,607,532 "
Austria,Fixed broadband coverage,Total,Households,"  3,638,864 ","  3,710,851 ","  3,784,652 ","  3,826,159 ","  3,873,979 ","  3,906,411 ","  3,855,594 ","  3,875,037 ","  3,919,131 ","  3,957,692 ","  3,998,862 "
Austria,NGA coverage,Total,Households,"  2,110,629 ","  2,299,427 ","  2,535,819 ","  2,647,102 ","  2,804,402 ","  2,861,650 ","  3,058,873 ","  3,394,576 ","  3,686,199 ","  3,784,650 ","  3,797,240 "
Austria,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  535,836 ","  1,538,430 ","  1,796,383 ","  2,190,639 ","  2,727,261 "
Austria,VHCN coverage (as defined by BEREC),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Austria,DSL,Total,Households,"  3,606,852 ","  3,679,004 ","  3,752,205 ","  3,746,739 ","  3,784,204 ","  3,802,267 ","  3,764,300 ","  3,736,275 ","  3,850,510 ","  3,873,817 ","  3,891,678 "
Austria,VDSL,Total,Households,"  1,739,995 ","  1,779,719 ","  1,822,739 ","  1,853,735 ","  1,891,566 ","  1,920,372 ","  1,930,022 ","  2,477,762 ","  3,115,093 ","  3,260,672 ","  3,361,654 "
Austria,VDSL 2 Vectoring,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  842,310 ","  1,358,881 ","  2,007,541 ","  2,210,040 ","  2,303,854 "
Austria,FTTP,Total,Households,"  262,200 ","  266,800 ","  271,257 ","  310,286 ","  485,706 ","  512,932 ","  534,791 ","  805,015 ","  1,054,017 ","  1,463,133 ","  1,652,409 "
