parl_const,parliamentary_constituency_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
W07000049,ABERAVON,33253,33216,98.1,83,83,39.9,83,0.1,0.2,0.3,1.8,0,99.1,43.6,32620,27600,27600,40,73,108,596,13278,27600,16,32953,14498,15.1,83,0.1,0.1,0.1,1.5,5020,27600,40,33,35,488
W07000058,ABERCONWY,30620,30585,96.3,77.1,77.1,77.1,77.1,0.5,1.2,1.8,3.6,0.7,98.4,48.4,29488,23613,23613,159,354,541,1097,23613,23613,212,30131,14819,19.2,77.1,0.5,0.6,0.6,1.8,5875,23613,159,195,187,556
S14000001,ABERDEEN NORTH,58918,58842,96.8,90.5,89.9,88.8,88.8,0,0,0.1,3.1,0,97.3,0,57040,53299,52948,0,1,84,1802,52303,52303,1,57320,0,6.9,89.9,0,0,0.1,2.9,4092,52948,0,1,83,1718
S14000002,ABERDEEN SOUTH,54641,54580,97.5,86.5,86.1,85.9,85.9,0.1,0.3,0.5,2.4,0.1,98.7,0,53259,47251,47071,32,167,269,1321,46944,46944,38,53944,0,11.3,86.1,0.1,0.2,0.2,1.9,6188,47071,32,135,102,1052
S14000003,AIRDRIE AND SHOTTS,42026,42014,97.8,85.9,85.9,41.6,85.9,0,0.3,0.6,2.1,0.1,99.5,0,41118,36113,36111,13,125,250,896,17484,36111,61,41808,0,11.9,85.9,0,0.3,0.3,1.5,5007,36111,13,112,125,646
E14000530,ALDERSHOT,48683,48599,97.7,89.9,89.9,72.7,89.9,0.1,0.7,1.6,2.1,0.1,98,0,47555,43742,43742,35,332,763,1044,35403,43742,34,47705,2,7.8,89.9,0.1,0.6,0.9,0.6,3813,43742,35,297,431,281
E14000531,ALDRIDGE-BROWNHILLS,34293,34269,98.8,93.2,91.8,62.3,91.1,0,0,0.4,1.2,0,99.1,0,33867,31957,31495,0,6,143,402,21361,31230,6,33972,0,6.9,91.8,0,0,0.4,0.8,2372,31495,0,6,137,259
E14000532,ALTRINCHAM AND SALE WEST,45481,45432,98.7,90.8,89.2,78.8,87.6,0.1,0.2,0.3,1.2,0,99.4,0.1,44896,41318,40588,48,87,116,536,35846,39862,6,45207,56,9.5,89.2,0.1,0.1,0.1,0.9,4308,40588,48,39,29,420
W07000043,ALYN AND DEESIDE,40953,40849,97.5,88.6,87.5,86.8,86.8,0.2,0.7,1.2,2.3,0.2,98.6,41.8,39925,36290,35820,102,267,502,924,35546,35546,95,40390,17117,10,87.5,0.2,0.4,0.6,1,4105,35820,102,165,235,422
E14000533,AMBER VALLEY,45332,45244,97.5,76.3,76.2,76,76.2,0,0.1,0.2,2.3,0,99.7,0,44208,34598,34555,12,37,82,1036,34471,34540,20,45179,0,21.3,76.2,0,0.1,0.1,2.1,9653,34555,12,25,45,954
S14000004,ANGUS,47343,47217,88.4,43.4,43.4,43.4,43.4,1.1,3,5.9,11.4,1.7,95.2,0,41840,20548,20548,522,1410,2786,5377,20548,20548,810,45062,0,45,43.4,1.1,1.9,2.9,5.5,21292,20548,522,888,1376,2591
W07000057,ARFON,29815,29722,95.2,53.7,50.5,48.4,48.4,0.4,1.1,2,4.5,0.3,97.1,39.9,28373,16024,15055,130,329,611,1349,14418,14420,75,28942,11910,44.7,50.5,0.4,0.7,0.9,2.5,13318,15055,130,199,282,738
S14000005,ARGYLL AND BUTE,57518,56735,83.5,13.1,13.1,13.1,13.1,2.7,5,8,15.2,4,91.2,0,48017,7555,7555,1573,2851,4619,8718,7554,7555,2276,52479,0,70.3,13.1,2.7,2.2,3.1,7.1,40462,7555,1573,1278,1768,4099
E14000534,ARUNDEL AND SOUTH DOWNS,50925,50833,93.7,47.8,47.1,46.5,46.5,0.3,0.8,1.5,6.1,0.5,99.2,0,47706,24359,23972,156,410,788,3127,23675,23676,272,50510,0,46.6,47.1,0.3,0.5,0.7,4.6,23734,23972,156,254,378,2339
E14000535,ASHFIELD,50439,50405,98.4,90.6,90.6,37.7,90.6,0,0.4,0.5,1.6,0,99,0,49608,45719,45692,18,197,245,797,19012,45693,4,49959,0,7.8,90.6,0,0.4,0.1,1.1,3916,45692,18,179,48,552
E14000536,ASHFORD,58533,58448,93.6,72.9,71.7,60.8,71,0.3,1.5,2.4,6.3,0.3,98.3,34.5,54774,42656,41966,179,896,1413,3674,35563,41565,175,57532,20184,21.9,71.7,0.3,1.2,0.9,3.9,12808,41966,179,717,517,2261
E14000537,ASHTON-UNDER-LYNE,47515,47412,99.1,83.8,83.3,55.9,82.8,0,0,0.1,0.7,0,99.6,0,47069,39812,39582,0,5,52,343,26540,39329,3,47326,0,15.8,83.3,0,0,0.1,0.6,7487,39582,0,5,47,291
E14000538,AYLESBURY,55731,55652,98.2,84.4,81.7,55,79.5,0,0.2,0.2,1.6,0,99.5,0,54746,47034,45509,18,102,136,906,30625,44281,20,55426,1,16.6,81.7,0,0.2,0.1,1.4,9237,45509,18,84,34,770
S14000006,"AYR, CARRICK AND CUMNOCK",48847,48808,98.2,61.5,60,48.6,59.1,0.1,0.3,0.6,1.8,0.2,99.5,0,47951,30060,29300,69,147,273,857,23720,28869,81,48618,0,38.2,60,0.1,0.2,0.3,1.2,18651,29300,69,78,126,584
E14000539,BANBURY,63169,63068,97.7,83.2,81.4,72.2,80,0.6,0.7,0.9,2.1,0.1,98.7,0.1,61732,52559,51437,359,428,600,1336,45596,50543,60,62363,66,16.3,81.4,0.6,0.1,0.3,1.2,10295,51437,359,69,172,736
S14000007,BANFF AND BUCHAN,47594,47455,85.7,22.3,22.3,22.3,22.3,1.7,4.2,7.9,14,1.9,95.4,0,40776,10631,10631,806,2003,3752,6679,10631,10631,885,45383,0,63.3,22.3,1.7,2.5,3.7,6.1,30145,10631,806,1197,1749,2927
E14000540,BARKING,55081,54923,98.6,92.3,92.2,84.6,92.2,0,0.4,0.5,1.1,0,98.6,0,54307,50831,50802,4,218,286,616,46574,50802,4,54312,0,6.4,92.2,0,0.4,0.1,0.6,3505,50802,4,214,68,330
E14000541,BARNSLEY CENTRAL,45771,45735,99.1,90.5,89.4,38.3,88.6,0,0.2,0.2,0.8,0,99.3,36.6,45367,41403,40931,1,73,110,368,17543,40553,1,45469,16744,9.7,89.4,0,0.2,0.1,0.6,4436,40931,1,72,37,258
E14000542,BARNSLEY EAST,45119,45091,98.7,83,80.4,43.7,78.4,0,0.1,0.3,1.2,0,99.4,20.5,44546,37454,36284,12,46,114,545,19733,35383,1,44853,9249,18.3,80.4,0,0.1,0.2,1,8262,36284,12,34,68,431
E14000543,BARROW AND FURNESS,46897,46819,97.6,52,52,52,52,0.2,0.5,0.6,2.2,0.2,99.7,2.8,45770,24407,24407,106,212,303,1049,24407,24407,115,46734,1293,45.6,52,0.2,0.2,0.2,1.6,21363,24407,106,106,91,746
E14000544,BASILDON AND BILLERICAY,44340,44276,98.5,89.3,88.7,71.9,88.3,0.1,0.2,0.5,1.4,0,99.2,0.2,43671,39582,39323,27,90,218,605,31882,39172,2,43984,67,9.8,88.7,0.1,0.1,0.3,0.9,4348,39323,27,63,128,387
E14000545,BASINGSTOKE,54032,53996,99,88,87.8,67.4,87.8,0,0.2,0.3,0.9,0,99.4,0,53499,47532,47460,1,88,142,497,36419,47460,9,53704,0,11.2,87.8,0,0.2,0.1,0.7,6039,47460,1,87,54,355
E14000546,BASSETLAW,55363,55200,97,68.5,67.5,50,66.7,0.3,0.6,1,2.7,0.1,99.2,22.5,53720,37925,37359,190,354,542,1480,27688,36948,77,54924,12443,29.6,67.5,0.3,0.3,0.3,1.7,16361,37359,190,164,188,938
