parl_const,parliamentary_constituency_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
W07000049,ABERAVON,31462,31459,99,84.5,84.5,40.5,84.5,0.1,0.1,0.2,1,0,99.7,44.2,31140,26592,26592,16,32,57,319,12751,26592,7,31381,13895,14.5,84.5,0.1,0.1,0.1,0.8,4548,26592,16,16,25,262
W07000058,ABERCONWY,27890,27879,96.5,78.5,78.5,78.5,78.5,0.5,1.1,1.7,3.4,0.6,98.5,48.4,26926,21902,21902,136,298,463,953,21902,21902,180,27485,13510,18,78.5,0.5,0.6,0.6,1.8,5024,21902,136,162,165,490
S14000001,ABERDEEN NORTH,56160,56094,97.4,92,91.4,90.4,90.4,0,0,0,2.5,0,97.8,0,54688,51657,51338,0,0,11,1406,50743,50743,1,54927,0,6,91.4,0,0,0,2.5,3350,51338,0,0,11,1395
S14000002,ABERDEEN SOUTH,51555,51522,97.9,87.6,87.4,87.2,87.2,0.1,0.3,0.4,2,0.1,99.2,0,50493,45185,45050,28,133,203,1029,44941,44941,32,51123,0,10.6,87.4,0.1,0.2,0.1,1.6,5443,45050,28,105,70,826
S14000003,AIRDRIE AND SHOTTS,40280,40274,98.1,87.2,87.2,42.6,87.2,0,0.3,0.5,1.9,0.1,99.6,0,39526,35112,35111,11,104,220,748,17171,35111,54,40132,0,11,87.2,0,0.2,0.3,1.3,4415,35111,11,93,116,528
E14000530,ALDERSHOT,46130,46123,98.4,91.5,91.5,74.6,91.5,0,0.5,1,1.5,0.1,98.8,0,45414,42187,42187,20,226,452,709,34413,42187,32,45555,1,7,91.5,0,0.4,0.5,0.6,3227,42187,20,206,226,257
E14000531,ALDRIDGE-BROWNHILLS,32607,32598,98.9,94.5,93.4,63.4,92.8,0,0,0.4,1,0,99.2,0,32262,30827,30458,0,1,117,336,20679,30268,5,32342,0,5.5,93.4,0,0,0.4,0.7,1804,30458,0,1,116,219
E14000532,ALTRINCHAM AND SALE WEST,42801,42767,98.9,91.7,90.2,80.5,88.6,0.1,0.2,0.2,1.1,0,99.5,0.1,42316,39231,38590,42,80,107,451,34451,37940,6,42574,56,8.7,90.2,0.1,0.1,0.1,0.8,3726,38590,42,38,27,344
W07000043,ALYN AND DEESIDE,38235,38183,98.3,90.9,90,89.4,89.4,0.2,0.5,0.7,1.6,0.1,99.4,42.5,37590,34743,34396,69,183,264,593,34182,34182,27,37992,16242,8.4,90,0.2,0.3,0.2,0.9,3194,34396,69,114,81,329
E14000533,AMBER VALLEY,42334,42292,97.9,78,78,77.8,77.9,0,0.1,0.1,2,0,99.9,0,41448,33022,33004,9,25,53,844,32921,32990,7,42276,0,19.9,78,0,0,0.1,1.9,8444,33004,9,16,28,791
S14000004,ANGUS,43930,43832,88.7,44.7,44.7,44.7,44.7,1.1,2.9,5.8,11.1,1.7,95.3,0,38966,19619,19619,471,1271,2526,4866,19619,19619,731,41874,0,44,44.7,1.1,1.8,2.9,5.3,19347,19619,471,800,1255,2340
