Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Austria,Land area,Total,km squared,8387900.0%,8387900.0%,8387900.0%,8387900.0%,8387900.0%,8387900.0%,8387900.0%,8387900.0%,8392700.0%,8392700.0%,8392700.0%,
Austria,Population,Total,###,844301800.0%,845186000.0%,850688900.0%,857626100.0%,869007600.0%,877286500.0%,885877500.0%,890106400.0%,893266400.0%,897892900.0%,910477200.0%,
Austria,Households,Total,###,367087600.0%,373890627.2%,381326121.0%,385514998.2%,390333256.0%,393553380.2%,388331200.0%,391892900.0%,395914300.0%,399505000.0%,403308000.0%,
Austria,Broadband coverage (>2Mbps),Total,% of Households,98.6%,98.4%,98.0%,98.1%,97.9%,98.1%,98.2%,98.6%,#N/A,#N/A,#N/A,
Austria,Broadband coverage (>30Mbps),Total,% of Households,55.6%,60.3%,65.2%,67.3%,71.3%,72.4%,78.8%,86.6%,93.3%,94.8%,94.2%,
Austria,Broadband coverage (>100Mbps),Total,% of Households,43.2%,40.8%,42.3%,49.5%,56.2%,57.5%,65.2%,72.2%,82.8%,85.8%,87.5%,
Austria,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.8%,36.9%,45.4%,54.8%,65.1%,
Austria,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.5%,21.6%,39.9%,
Austria,Fixed broadband coverage,Total,% of Households,99.1%,99.2%,99.2%,99.2%,99.2%,99.3%,99.3%,98.9%,99.0%,99.1%,99.2%,
Austria,NGA coverage,Total,% of Households,57.5%,61.5%,66.5%,68.7%,71.8%,72.7%,78.8%,86.6%,93.1%,94.7%,94.2%,
Austria,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.8%,39.3%,45.4%,54.8%,67.6%,
Austria,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Austria,DSL,Total,% of Households,98.3%,98.4%,98.4%,97.2%,96.9%,96.6%,96.9%,95.3%,97.3%,97.0%,96.5%,
Austria,VDSL,Total,% of Households,47.4%,47.6%,47.8%,48.1%,48.5%,48.8%,49.7%,63.2%,78.7%,81.6%,83.4%,
Austria,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21.7%,34.7%,50.7%,55.3%,57.1%,
Austria,FTTP,Total,% of Households,7.1%,7.1%,7.1%,8.0%,12.4%,13.0%,13.8%,20.5%,26.6%,36.6%,41.0%,
Austria,Cable modem DOCSIS 3.0,Total,% of Households,39.1%,39.1%,40.6%,45.6%,51.8%,53.0%,53.2%,58.3%,59.3%,59.3%,59.4%,
Austria,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,26.7%,32.0%,39.5%,52.6%,
